City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hammerfest,70.6634,23.6821,276.4,70,40,4.63,NO,1696180100
1,howard springs,-12.497,131.047,300.1,79,42,0.53,AU,1696180100
2,shubarkuduk,49.1447,56.4872,289.65,49,82,3.15,KZ,1696180100
3,salinopolis,-0.6136,-47.3561,302.51,69,53,7.53,BR,1696180101
4,west island,-12.1568,96.8225,299.14,73,75,7.72,CC,1696180101
5,port-aux-francais,-49.35,70.2167,279.41,97,100,19.13,TF,1696180101
6,adamstown,-25.066,-130.1015,293.79,82,50,10.95,PN,1696180101
7,cestos city,5.46,-9.5828,299.8,82,78,3.45,LR,1696180101
8,grytviken,-54.2811,-36.5092,278.06,94,65,5.02,GS,1696180102
9,phang nga,8.4509,98.5298,301.17,90,65,1.63,TH,1696180102
10,puerto ayora,-0.7393,-90.3518,304.13,89,99,3.58,EC,1696180102
11,key west,24.5557,-81.7826,305.15,74,0,4.63,US,1696180036
12,argo,37.6333,22.7333,294.7,49,47,1.79,GR,1696180102
13,takoradi,4.8845,-1.7554,298.99,87,37,5.32,GH,1696180103
14,zouerate,22.7187,-12.4521,309.24,12,40,6.9,MR,1696180103
15,kayangel,8.0823,134.7173,300.98,81,49,3.7,PW,1696180103
16,tommot,58.9564,126.2925,278.14,55,84,0.45,RU,1696180103
17,san agustin,20.5333,-103.4667,296.77,57,40,3.09,MX,1696180103
18,port lincoln,-34.7333,135.8667,285.48,79,0,2.27,AU,1696180104
19,taungoo,18.9333,96.4333,296.57,99,99,2.01,MM,1696180104
20,ustka,54.5805,16.8619,286.29,87,75,4.06,PL,1696180104
21,qarauyl,48.9451,79.255,282.52,67,96,1.52,KZ,1696180104
22,bathsheba,13.2167,-59.5167,304.49,79,40,11.83,BB,1696180104
23,tura,25.5198,90.2201,296.87,98,82,1.89,IN,1696180105
24,konarka,19.9,86.1167,301.37,81,100,6.58,IN,1696180105
25,mandalgovi,45.7625,106.2708,284.62,24,100,2.97,MN,1696180105
26,stanley,54.868,-1.6985,290.25,78,20,2.57,GB,1696180105
27,singtam,27.2333,88.5,297.69,87,94,1.11,IN,1696180105
28,waitangi,-43.9535,-176.5597,284.16,90,61,0.89,NZ,1696180106
29,thompson,55.7435,-97.8558,278.81,74,100,2.31,CA,1696180106
30,kerikeri,-35.2268,173.9474,283.15,94,25,2.91,NZ,1696180106
31,kodiak,57.79,-152.4072,281.88,93,100,5.14,US,1696180106
32,bredasdorp,-34.5322,20.0403,286.24,73,0,6.81,ZA,1696180107
33,dudinka,69.4058,86.1778,259.08,99,67,0.89,RU,1696180107
34,puerto natales,-51.7236,-72.4875,274.4,93,100,7.72,CL,1696180107
